league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,shots_faced,goal_assists,offsides,shots_on_target,total_goals,total_shots,saves
GER-Bundesliga,2324,2023-10-21 VfL Wolfsburg-Bayer Leverkusen,Bayer Leverkusen,Lukas Hradecky,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,,0.0,0.0,0.0,6.0
GER-Bundesliga,2324,2023-10-21 VfL Wolfsburg-Bayer Leverkusen,VfL Wolfsburg,Pavao Pervan,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,,0.0,0.0,0.0,5.0
GER-Bundesliga,2324,2023-10-22 1. FC Heidenheim 1846-FC Augsburg,1. FC Heidenheim 1846,Kevin Müller,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-10-22 1. FC Heidenheim 1846-FC Augsburg,FC Augsburg,Finn Dahmen,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-10-22 FC Cologne-Borussia Mönchengladbach,Borussia Mönchengladbach,Moritz Nicolas,False,Goalkeeper,1,start,end,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,17.0,0.0,,0.0,0.0,0.0,5.0
GER-Bundesliga,2324,2023-10-22 FC Cologne-Borussia Mönchengladbach,FC Cologne,Marvin Schwäbe,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-10-27 VfL Bochum-Mainz,Mainz,Robin Zentner,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-10-27 VfL Bochum-Mainz,VfL Bochum,Manuel Riemann,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-10-28 Bayern Munich-SV Darmstadt 98,Bayern Munich,Manuel Neuer,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-10-28 Bayern Munich-SV Darmstadt 98,SV Darmstadt 98,Marcel Schuhen,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,0.0,,0.0,0.0,0.0,8.0
GER-Bundesliga,2324,2023-10-28 Borussia Mönchengladbach-1. FC Heidenheim 1846,1. FC Heidenheim 1846,Kevin Müller,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-10-28 Borussia Mönchengladbach-1. FC Heidenheim 1846,Borussia Mönchengladbach,Moritz Nicolas,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-10-28 FC Augsburg-VfL Wolfsburg,FC Augsburg,Finn Dahmen,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-10-28 FC Augsburg-VfL Wolfsburg,VfL Wolfsburg,Pavao Pervan,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-10-28 RB Leipzig-FC Cologne,FC Cologne,Marvin Schwäbe,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,,0.0,0.0,0.0,7.0
GER-Bundesliga,2324,2023-10-28 RB Leipzig-FC Cologne,RB Leipzig,Janis Blaswich,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-10-28 VfB Stuttgart-TSG Hoffenheim,TSG Hoffenheim,Oliver Baumann,False,Goalkeeper,1,start,end,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,,0.0,0.0,0.0,7.0
GER-Bundesliga,2324,2023-10-28 VfB Stuttgart-TSG Hoffenheim,VfB Stuttgart,Alexander Nübel,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-10-28 Werder Bremen-1. FC Union Berlin,1. FC Union Berlin,Frederik Ronnow,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,,0.0,0.0,0.0,3.0
